"","artist","title","album","year"
"1","Marvin Gaye","Let Your Conscience Be Your Guide","The Soulful Moodsof Marvin Gaye","1961"
"2","Marvin Gaye","Sandman","Greatest Hits","1962"
"3","Marvin Gaye","Soldier's Plea","That StubbornKinda Fellow","1962"
"4","Marvin Gaye","Stubborn Kind of Fellow","That StubbornKinda Fellow","1962"
"5","Marvin Gaye","Hitch Hike","That StubbornKinda Fellow","1962"
"6","Marvin Gaye","Pride and Joy","That StubbornKinda Fellow","1963"
"7","Marvin Gaye","Can I Get a Witness","Greatest Hits","1963"
"8","Marvin Gaye","You're a Wonderful One","How Sweet It Is to Be Loved by You","1964"
"9","Marvin Gaye","Once Upon a Time","Together","1964"
"10","Marvin Gaye","What's the Matter with You Baby","Together","1964"
"11","Marvin Gaye","Try It Baby","How Sweet It Isto Be Loved by You","1964"
"12","Marvin Gaye","Baby Don't You Do It","How Sweet It Isto Be Loved by You","1964"
"13","Marvin Gaye","What Good Am I Without You","Take Two","1964"
"14","Marvin Gaye","How Sweet It Is","How Sweet It Isto Be Loved by You","1964"
"15","Marvin Gaye","I'll Be Doggone","Moods of Marvin Gaye","1965"
"16","Marvin Gaye","Pretty Little Baby","Greatest Hits, Vol. 2","1965"
"17","Marvin Gaye","Ain't That Peculiar","Moods of Marvin Gaye","1965"
"18","Marvin Gaye","One More Heartache","Moods of Marvin Gaye","1966"
"19","Marvin Gaye","Take This Heart of Mine","Moods of Marvin Gaye","1966"
"20","Marvin Gaye","Little Darling","Moods of Marvin Gaye","1966"
"21","Marvin Gaye","It Takes Two","Take Two","1966"
"22","Marvin Gaye","Ain't No Mountain High Enough","United","1967"
"23","Marvin Gaye","Your Unchanging Love","Moods of Marvin Gaye","1967"
"24","Marvin Gaye","Your Precio","United","1967"
"25","Marvin Gaye","If I Could Build My Whole World Around You","United","1967"
"26","Marvin Gaye","You","In the Groove","1967"
"27","Marvin Gaye","Ain't Nothing Like the Real Thing","You're All I Need","1968"
"28","Marvin Gaye","You're All I Need to Get By","You're All I Need","1968"
"29","Marvin Gaye","Chained","In the Groove","1968"
"30","Marvin Gaye","Keep On Lovin' Me Honey","You're All I Need","1968"
"31","Marvin Gaye","His Eye Is on the Sparrow","In Loving Memory","1968"
"32","Marvin Gaye","I Heard It Through the Grapevine","In the Groove","1968"
"33","Marvin Gaye","Good Lovin' Ain't Easy to Come By","Easy","1969"
"34","Marvin Gaye","Too Busy Thinking About My Baby","M.P.G.","1969"
"35","Marvin Gaye","That's the Way Love Is","M.P.G. / That's the Way Love Is","1969"
"36","Marvin Gaye","What You Gave Me","Easy","1969"
"37","Marvin Gaye","How Can I Forget","That's the Way Love Is","1970"
"38","Marvin Gaye","The Onion Song","Easy","1970"
"39","Marvin Gaye","Abraham, Martin and John","That's the Way Love Is","1970"
"40","Marvin Gaye","The End of Our Road","M.P.G.","1970"
"41","Marvin Gaye","What's Going On","What's Going On","1971"
"42","Marvin Gaye","Mercy Mercy Me","What's Going On","1971"
"43","Marvin Gaye","Inner City Blues","What's Going On","1971"
"44","Marvin Gaye","Save the Children","What's Going On","1971"
"45","Marvin Gaye","You're the Man","You're the Man","1972"
"46","Marvin Gaye","Trouble Man","Trouble Man","1972"
"47","Marvin Gaye","I Want to Come Home for Christmas","Non-album single","1972"
"48","Marvin Gaye","Let's Get It On","Let's Get It On","1973"
"49","Marvin Gaye","You're a Special Part of Me","Diana & Marvin","1973"
"50","Marvin Gaye","Stop, Look, Listen","Diana & Marvin","1973"
"51","Marvin Gaye","Come Get to This","Let's Get It On","1973"
"52","Marvin Gaye","You Sure Love to Ball","Let's Get It On","1974"
"53","Marvin Gaye","My Mistake","Diana & Marvin","1974"
"54","Marvin Gaye","You Are Everything","Diana & Marvin","1974"
"55","Marvin Gaye","Don't Knock My Love","Diana & Marvin","1974"
"56","Marvin Gaye","Distant Lover","Marvin Gaye Live!","1974"
"57","Marvin Gaye","I Want You","I Want You","1976"
"58","Marvin Gaye","After the Dance","I Want You","1976"
"59","Marvin Gaye","Got to Give It Up","Live at theLondon Palladium","1977"
"60","Marvin Gaye","Pops, We Love You","""Pops We Love You""...The Album","1978"
"61","Marvin Gaye","A Funky Space Reincarnation","Here, My Dear","1979"
"62","Marvin Gaye","Anger","Here, My Dear","1979"
"63","Marvin Gaye","Ego Tripping Out","In Our Lifetime","1979"
"64","Marvin Gaye","Praise","In Our Lifetime","1981"
"65","Marvin Gaye","Heavy Love Affair","In Our Lifetime","1981"
"66","Marvin Gaye","Sexual Healing","Midnight Love","1982"
"67","Marvin Gaye","My Love Is Waiting","Midnight Love","1983"
"68","Marvin Gaye","'Til Tomorrow","Midnight Love","1983"
"69","Marvin Gaye","Joy","Midnight Love","1983"
"70","Marvin Gaye","Sanctified Lady","Dream of a Lifetime","1985"
"71","Marvin Gaye","It's Madness","Dream of a Lifetime","1985"
"72","Marvin Gaye","Just Like","Romantically Yours","1985"
"73","Marvin Gaye","I Heard it Through the Grapevine","Motown RemembersMarvin Gaye","1986"
"74","Marvin Gaye","The World Is Rated X","Motown RemembersMarvin Gaye","1986"
"75","Marvin Gaye","My Last Chance","The Marvin GayeCollection","1991"
"76","Marvin Gaye","Lucky, Lucky Me","The Very Best ofMarvin Gaye","1994"
"77","Marvin Gaye","This Love Starved Heart of Mine","Love Starved HeartRare and Unreleased","1995"
"78","Marvin Gaye","Music","Music","2001"
"79","Marvin Gaye","I'm Hot","Music","2001"
"80","Marvin Gaye","Let's Get It On","Non-album singles","2005"
"81","Marvin Gaye","Ain't No Mountain High Enough","Non-album singles","2013"
"82","Marvin Gaye","Sexual Healing","Non-album singles","2015"
"83","The Beach Boys","Don't Worry Baby (from Shut D","All Summer Long","1964"
"84","The Beach Boys","Monster M","Beach Boys Concert","1965"
"85","The Beach Boys","Wake the W","Non-album track","1968"
"86","The Beach Boys","Never Learn N","20/20","1968"
"87","The Beach Boys","—","","""—"" denotes a release that did not chart, was not released in the country or the information is unknown
(* - US Record World chart data incomplete for early 1964)"
"88","The Beach Boys","Add Some Music to Your Day","Sunflower","1970"
"89","The Beach Boys","Susie Cincinnati","Sunflower","1970"
"90","The Beach Boys","Cottonfields","Non-album single","1970"
"91","The Beach Boys","The Nearest Faraway Place","Non-album single","1970"
"92","The Beach Boys","Slip On Through This Whole World","Sunflower","1970"
"93","The Beach Boys","Tears in the Morning It's About Time","Sunflower","1970"
"94","The Beach Boys","Cool, Cool Water Forever","Sunflower","1971"
"95","The Beach Boys","Wouldn't It Be Nice The Times They Are A Changin'","Celebration - The Big Sur Folk Festival 1970","1971"
"96","The Beach Boys","Long Promised Road","Surf's Up","1971"
"97","The Beach Boys","Deirdre 'Til I Die","Surf's Up","1971"
"98","The Beach Boys","Student Demonstration Time","Surf's Up","1971"
"99","The Beach Boys","Don't Go Near the Water","Surf's Up","1971"
"100","The Beach Boys","Surf's Up","Surf's Up","1971"
"101","The Beach Boys","You Need a Mess of Help to Stand Alone","Carl and the Passions - So Tough","1972"
"102","The Beach Boys","Cuddle Up","Carl and the Passions - So Tough","1972"
"103","The Beach Boys","Marcella Hold On Dear Brother","Carl and the Passions - So Tough","1972"
"104","The Beach Boys","Sail On, SailorOnly with You","Holland","1973"
"105","The Beach Boys","California Saga: California","Holland","1973"
"106","The Beach Boys","Funky Pretty","Holland","1973"
"107","The Beach Boys","Surfin' USA","Endless Summer","1974"
"108","The Beach Boys","The Warmth of the Sun","Endless Summer","1974"
"109","The Beach Boys","Child of Winter","Non-album track","1974"
"110","The Beach Boys","Little Honda","Spirit of America","1975"
"111","The Beach Boys","Hawaii","Spirit of America","1975"
"112","The Beach Boys","Rock and Roll Music TM Song","15 Big Ones","1976"
"113","The Beach Boys","It's O.K.","15 Big Ones","1976"
"114","The Beach Boys","Had to Phone Ya","15 Big Ones","1976"
"115","The Beach Boys","Everyone's in Love with You","15 Big Ones","1976"
"116","The Beach Boys","Honkin' Down the Highway Solar System","The Beach Boys Love You","1977"
"117","The Beach Boys","Peggy Sue Hey Little Tomboy","M.I.U. Album","1978"
"118","The Beach Boys","Here Comes the Night Baby Blue","L.A. (Light Album)","1979"
"119","The Beach Boys","Good Timin' Love Surrounds Me","L.A. (Light Album)","1979"
"120","The Beach Boys","Lady Lynda","L.A. (Light Album)","1979"
"121","The Beach Boys","Full Sail","L.A. (Light Album)","1979"
"122","The Beach Boys","It's a Beautiful Day Sumahama )","Americathon (soundtrack)","1979"
"123","The Beach Boys","Goin' On","Keepin' the Summer Alive","1980"
"124","The Beach Boys","Endless Harmony","Keepin' the Summer Alive","1980"
"125","The Beach Boys","Livin' with a Heartache","Keepin' the Summer Alive","1980"
"126","The Beach Boys","Santa Ana Winds","Keepin' the Summer Alive","1980"
"127","The Beach Boys","Keepin' the Summer Alive","Keepin' the Summer Alive","1980"
"128","The Beach Boys","When Girls Get Together","Keepin' the Summer Alive","1980"
"129","The Beach Boys","The Beach Boys Medley","Sunshine Dream","1981"
"130","The Beach Boys","God Only Knows","Sunshine Dream","1981"
"131","The Beach Boys","Come Go with Me","M.I.U. Album","1981"
"132","The Beach Boys","Don't Go Near the Water","M.I.U. Album","1981"
"133","The Beach Boys","East Meets West Rhapsody","Non-album track","1984"
"134","The Beach Boys","Getcha Back","The Beach Boys","1985"
"135","The Beach Boys","Male Ego","The Beach Boys","1985"
"136","The Beach Boys","It's Gettin' Late","The Beach Boys","1985"
"137","The Beach Boys","It's OK","The Beach Boys","1985"
"138","The Beach Boys","She Believes in Love Again","The Beach Boys","1985"
"139","The Beach Boys","It's Just a Matter of Time","The Beach Boys","1985"
"140","The Beach Boys","Passing Friend","The Beach Boys","1985"
"141","The Beach Boys","Rock 'n' Roll to the Rescue","Made in U.S.A.","1986"
"142","The Beach Boys","Good Vibrations","Made in U.S.A.","1986"
"143","The Beach Boys","California Dreamin'","Made in U.S.A.","1986"
"144","The Beach Boys","Lady Liberty","Made in U.S.A.","1986"
"145","The Beach Boys","Wipeout! Crushin'","Still Cruisin'","1987"
"146","The Beach Boys","Happy Endings California Girls","Non-album track","1987"
"147","The Beach Boys","Kokomo Tutti Frutti","Still Cruisin'","1988"
"148","The Beach Boys","Don't Worry Baby Tequila Dreams","Tequila Sunrise (soundtrack)","1988"
"149","The Beach Boys","Still Cruisin'","Still Cruisin'","1989"
"150","The Beach Boys","Kokomo","Still Cruisin'","1989"
"151","The Beach Boys","Somewhere Near Japan","Still Cruisin'","1990"
"152","The Beach Boys","Kokomo","Still Cruisin'","1990"
"153","The Beach Boys","Problem Child","Problem Child (soundtrack)","1990"
"154","The Beach Boys","Crocodile Rock","Two Rooms: Celebrating the Songs of Elton John & Bernie Taupin","1991"
"155","The Beach Boys","California Dreamin'","California Gold: The Very Best of The Beach Boys","1991"
"156","The Beach Boys","Hot Fun in the Summertime","Summer in Paradise","1992"
"157","The Beach Boys","Tears in the Morning","Summer in Paradise","1992"
"158","The Beach Boys","Forever Forever Forever","Summer in Paradise","1992"
"159","The Beach Boys","Under the Boardwalk","Summer in Paradise","1992"
"160","The Beach Boys","Summer in Paradise","Summer in Paradise","1993"
"161","The Beach Boys","Summer of Love","Summer in Paradise","1993"
"162","The Beach Boys","Summer in Paradise I'm Always Here)","Summer in Paradise","1993"
"163","The Beach Boys","I Just Wasn't Made for These Times","Pet Sounds","1996"
"164","The Beach Boys","Wouldn't It Be Nice , Here Today","Pet Sounds","1996"
"165","The Beach Boys","I Can Hear Music Little Deuce Coupe","Stars and Stripes Vol. 1","1996"
"166","The Beach Boys","Help Me, Rhonda","Stars and Stripes Vol. 1","1996"
"167","The Beach Boys","Don't Worry Baby","Stars and Stripes Vol. 1","1996"
"168","The Beach Boys","Long Tall Texan","Stars and Stripes Vol. 1","1996"
"169","The Beach Boys","Little Deuce Coupe","Stars and Stripes Vol. 1","1996"
"170","The Beach Boys","Don't Fight the Sea Friends","A Postcard from California","2011"
"171","The Beach Boys","Cabin Essence","The Smile Sessions","2011"
"172","The Beach Boys","Wonderful","The Smile Sessions","2011"
"173","The Beach Boys","Vega-Tables","The Smile Sessions","2011"
"174","The Beach Boys","Surf's Up","The Smile Sessions","2011"
"175","The Beach Boys","That's Why God Made the Radio","That's Why God Made the Radio","2012"
"176","The Beach Boys","Isn't It Time","That's Why God Made the Radio","2012"
"177","Joni Mitchell","Night in the City","Song to a Seagull","1968"
"178","Joni Mitchell","Chelsea Morning","Clouds","1969"
"179","Joni Mitchell","Big Yellow Taxi","Ladies of the Canyon","1970"
"180","Joni Mitchell","Carey","Blue","1971"
"181","Joni Mitchell","California","Blue","1971"
"182","Joni Mitchell","You Turn Me On, I'm a Radio","For the Roses","1972"
"183","Joni Mitchell","Cold Blue Steel and Sweet Fire","For the Roses","1973"
"184","Joni Mitchell","Raised on Robbery","Court and Spark","1973"
"185","Joni Mitchell","Help Me","Court and Spark","1974"
"186","Joni Mitchell","Free Man in Paris","Court and Spark","1974"
"187","Joni Mitchell","In France They Kiss on Main Street","The Hissing of Summer Lawns","1976"
"188","Joni Mitchell","Coyote","Hejira","1977"
"189","Joni Mitchell","Off Night Backstreet","Don Juan's Reckless Daughter","1978"
"190","Joni Mitchell","Jericho","Don Juan's Reckless Daughter","1978"
"191","Joni Mitchell","The Dry Cleaner from Des Moines","Mingus","1979"
"192","Joni Mitchell","Why Do Fools Fall in Love","Shadows and Light","1980"
"193","Joni Mitchell","Baby I Don't Care","Wild Things Run Fast","1982"
"194","Joni Mitchell","Chinese Café","Wild Things Run Fast","1983"
"195","Joni Mitchell","Underneath The Streetlight","Wild Things Run Fast","1983"
"196","Joni Mitchell","Good Friends","Dog Eat Dog","1985"
"197","Joni Mitchell","Shiny Toys","Dog Eat Dog","1986"
"198","Joni Mitchell","My Secret Place","Chalk Mark in a Rain Storm","1988"
"199","Joni Mitchell","Snakes and Ladders","Chalk Mark in a Rain Storm","1988"
"200","Joni Mitchell","Cool Water","Chalk Mark in a Rain Storm","1988"
"201","Joni Mitchell","Night Ride Home","Night Ride Home","1991"
"202","Joni Mitchell","Come in from the Cold","Night Ride Home","1991"
"203","Joni Mitchell","How Do You Stop","Turbulent Indigo","1994"
"204","Joni Mitchell","Sex Kills","Turbulent Indigo","1994"
"205","Joni Mitchell","Sunny Sunday","Turbulent Indigo","1994"
"206","Joni Mitchell","The Crazy Cries of Love","Taming the Tiger","1998"
"207","Joni Mitchell","Both Sides, Now","Both Sides Now","2000"
"208","Stevie Wonder","I Call It Pretty Music but the Old People Call It the Blues – Part 1","Non-album singles","1962"
"209","Stevie Wonder","Part 2","Non-album singles","1962"
"210","Stevie Wonder","Little Water Boy","Non-album singles","1962"
"211","Stevie Wonder","La La La La La","Non-album singles","1962"
"212","Stevie Wonder","Contract on Love","Up-Tight","1962"
"213","Stevie Wonder","Sunset","Up-Tight","1962"
"214","Stevie Wonder","Fingertips – Part 2","The 12 Year Old Genius – Recorded Live","1963"
"215","Stevie Wonder","Part 1","The 12 Year Old Genius – Recorded Live","1963"
"216","Stevie Wonder","Workout Stevie, Workout","Greatest Hits","1963"
"217","Stevie Wonder","Monkey Talk","Greatest Hits","1963"
"218","Stevie Wonder","Pretty Little Angel","Up-Tight","1964"
"219","Stevie Wonder","Tears in Vain","Up-Tight","1964"
"220","Stevie Wonder","Castles in the Sand","Stevie at the Beach","1964"
"221","Stevie Wonder","Thank You The above seven tracks released as Little Stevie Wonder","Stevie at the Beach","1964"
"222","Stevie Wonder","Hey Harmonica Man","Stevie at the Beach","1964"
"223","Stevie Wonder","This Little Girl","Stevie at the Beach","1964"
"224","Stevie Wonder","Happy Street","Stevie at the Beach","1964"
"225","Stevie Wonder","Sad Boy","Stevie at the Beach","1964"
"226","Stevie Wonder","Kiss Me Baby","Non-album single","1965"
"227","Stevie Wonder","Hi-Heel Sneakers","Recorded Live/Motortown Revue in Paris","1965"
"228","Stevie Wonder","Funny How Time Slips Away Music Talk","Recorded Live/Motortown Revue in Paris","1965"
"229","Stevie Wonder","Uptight","Up-Tight","1965"
"230","Stevie Wonder","Purple Rain Drops","Up-Tight","1965"
"231","Stevie Wonder","Nothing's Too Good for My Baby","Up-Tight","1966"
"232","Stevie Wonder","With a Child's Heart","Up-Tight","1966"
"233","Stevie Wonder","With a Child's Heart b-side of Nothing's Too Good for My Baby","Up-Tight","1966"
"234","Stevie Wonder","Blowin' in the Wind","Up-Tight","1966"
"235","Stevie Wonder","Ain't That Asking for Trouble","Up-Tight","1966"
"236","Stevie Wonder","A Place in the Sun","Down to Earth","1966"
"237","Stevie Wonder","Sylvia","Down to Earth","1966"
"238","Stevie Wonder","Someday at Christmas","Someday at Christmas","1966"
"239","Stevie Wonder","The Miracle of Christmas )","Someday at Christmas","1966"
"240","Stevie Wonder","Travlin' Man","Stevie Wonder's Greatest Hits Vol. 2","1967"
"241","Stevie Wonder","Hey Love","Stevie Wonder's Greatest Hits Vol. 2","1967"
"242","Stevie Wonder","Hey Love b-side of Travelin' Man","Down to Earth","1967"
"243","Stevie Wonder","I Was Made to Love Her","I Was Made to Love Her","1967"
"244","Stevie Wonder","Hold Me","I Was Made to Love Her","1967"
"245","Stevie Wonder","I'm Wondering","Greatest Hits","1967"
"246","Stevie Wonder","Every Time I See You I Go Wild","Greatest Hits","1967"
"247","Stevie Wonder","Shoo-Be-Doo-Be-Doo-Da-Day","For Once in My Life","1968"
"248","Stevie Wonder","Why Don't You Lead Me to Love","For Once in My Life","1968"
"249","Stevie Wonder","You Met Your Match","For Once in My Life","1968"
"250","Stevie Wonder","My Girl","For Once in My Life","1968"
"251","Stevie Wonder","Alfie","Eivets Rednow","1968"
"252","Stevie Wonder","More Than a Dream","Eivets Rednow","1968"
"253","Stevie Wonder","For Once in My Life","For Once in My Life","1968"
"254","Stevie Wonder","Angie Girl","For Once in My Life","1968"
"255","Stevie Wonder","I Don't Know Why","For Once in My Life","1969"
"256","Stevie Wonder","My Cherie Amour","For Once in My Life","1969"
"257","Stevie Wonder","I Don't Know Why from For Once in My Life","My Cherie Amour","1969"
"258","Stevie Wonder","Yester-Me, Yester-You, Yesterday","My Cherie Amour","1969"
"259","Stevie Wonder","I'd Be a Fool Right Now","My Cherie Amour","1969"
"260","Stevie Wonder","Never Had a Dream Come True","Signed, Sealed & Delivered","1970"
"261","Stevie Wonder","Somebody Knows, Somebody Cares","Signed, Sealed & Delivered","1970"
"262","Stevie Wonder","Signed, Sealed, Delivered I'm Yours","Signed, Sealed & Delivered","1970"
"263","Stevie Wonder","I'm More Than Happy","Signed, Sealed & Delivered","1970"
"264","Stevie Wonder","Heaven Help","Signed, Sealed & Delivered","1970"
"265","Stevie Wonder","I Gotta Have a Song","Signed, Sealed & Delivered","1970"
"266","Stevie Wonder","We Can Work It Out","Signed, Sealed & Delivered","1971"
"267","Stevie Wonder","Never Dreamed You'd Leave in Summer","Where I'm Coming From","1971"
"268","Stevie Wonder","If You Really Love Me","Where I'm Coming From","1971"
"269","Stevie Wonder","Think of Me as Your Soldier","Where I'm Coming From","1971"
"270","Stevie Wonder","What Christmas Means to Me","Someday at Christmas","1971"
"271","Stevie Wonder","Bedtime for Toys","Someday at Christmas","1971"
"272","Stevie Wonder","Superwoman","Music of My Mind","1972"
"273","Stevie Wonder","I Love Every Little Thing About You","Music of My Mind","1972"
"274","Stevie Wonder","Keep On Running","Music of My Mind","1972"
"275","Stevie Wonder","Evil","Music of My Mind","1972"
"276","Stevie Wonder","Superstition","Talking Book","1972"
"277","Stevie Wonder","You Got It Bad Girl","Talking Book","1972"
"278","Stevie Wonder","You Are the Sunshine of My Life","Talking Book","1973"
"279","Stevie Wonder","Tuesday Heartbreak","Talking Book","1973"
"280","Stevie Wonder","Higher Ground","Innervisions","1973"
"281","Stevie Wonder","Too High","Innervisions","1973"
"282","Stevie Wonder","Living for the City","Innervisions","1973"
"283","Stevie Wonder","Visions","Innervisions","1973"
"284","Stevie Wonder","Don't You Worry 'bout a Thing","Innervisions","1974"
"285","Stevie Wonder","All in Love Is Fair or Blame It on the Sun","Innervisions","1974"
"286","Stevie Wonder","He's Misstra Know It All","Innervisions","1974"
"287","Stevie Wonder","You Can't Judge a Book by Its Cover","Innervisions","1974"
"288","Stevie Wonder","You Haven't Done Nothin'","Fulfillingness' First Finale","1974"
"289","Stevie Wonder","Big Brother","Fulfillingness' First Finale","1974"
"290","Stevie Wonder","Boogie On Reggae Woman","Fulfillingness' First Finale","1974"
"291","Stevie Wonder","Seems So Long","Fulfillingness' First Finale","1974"
"292","Stevie Wonder","I Wish","Songs in the Key of Life","1976"
"293","Stevie Wonder","You and I","Songs in the Key of Life","1976"
"294","Stevie Wonder","Isn't She Lovely","Songs in the Key of Life","1976"
"295","Stevie Wonder","instrumental version of A-side","Songs in the Key of Life","1976"
"296","Stevie Wonder","Sir Duke","Songs in the Key of Life","1977"
"297","Stevie Wonder","He's Misstra Know-It-All","Songs in the Key of Life","1977"
"298","Stevie Wonder","Another Star","Songs in the Key of Life","1977"
"299","Stevie Wonder","Creepin'","Songs in the Key of Life","1977"
"300","Stevie Wonder","As","Songs in the Key of Life","1977"
"301","Stevie Wonder","Contusion","Songs in the Key of Life","1977"
"302","Stevie Wonder","Pops, We Love You","""Pops We Love You""...The Album(Various Motown artists)","1978"
"303","Stevie Wonder","Instrumental version of A-side","""Pops We Love You""...The Album(Various Motown artists)","1978"
"304","Stevie Wonder","Send One Your Love","Stevie Wonder's Journey Through ""The Secret Life of Plants""","1979"
"305","Stevie Wonder","Black Orchid","Stevie Wonder's Journey Through ""The Secret Life of Plants""","1980"
"306","Stevie Wonder","Blame It on the Sun","Stevie Wonder's Journey Through ""The Secret Life of Plants""","1980"
"307","Stevie Wonder","Outside My Window","Stevie Wonder's Journey Through ""The Secret Life of Plants""","1980"
"308","Stevie Wonder","Same Old Story","Stevie Wonder's Journey Through ""The Secret Life of Plants""","1980"
"309","Stevie Wonder","Master Blaster","Hotter than July","1980"
"310","Stevie Wonder","I Ain't Gonna Stand for It","Hotter than July","1980"
"311","Stevie Wonder","Knocks Me Off My Feet","Hotter than July","1980"
"312","Stevie Wonder","Lately","Hotter than July","1981"
"313","Stevie Wonder","If It's Magic","Hotter than July","1981"
"314","Stevie Wonder","Happy Birthday","Hotter than July","1981"
"315","Stevie Wonder","Sing-along version of A-side","Hotter than July","1981"
"316","Stevie Wonder","Did I Hear You Say You Love Me","Hotter than July","1981"
"317","Stevie Wonder","As If You Read My Mind","Hotter than July","1981"
"318","Stevie Wonder","That Girl","Stevie Wonder's Original Musiquarium I","1982"
"319","Stevie Wonder","All I Do","Stevie Wonder's Original Musiquarium I","1982"
"320","Stevie Wonder","Do I Do","Stevie Wonder's Original Musiquarium I","1982"
"321","Stevie Wonder","Rocket Love","Stevie Wonder's Original Musiquarium I","1982"
"322","Stevie Wonder","Ribbon in the Sky","Stevie Wonder's Original Musiquarium I","1982"
"323","Stevie Wonder","Used to Be","Used to Be(Charlene album)","1982"
"324","Stevie Wonder","I Want to Come Back as a Song*","Used to Be(Charlene album)","1982"
"325","Stevie Wonder","Front Line","Stevie Wonder's Original Musiquarium I","1983"
"326","Stevie Wonder","Instrumental version of A-side","Stevie Wonder's Original Musiquarium I","1983"
"327","Stevie Wonder","I Just Called to Say I Love You","Selections from the Origional Motion Picture Soundtrack ""The Woman in Red""","1984"
"328","Stevie Wonder","Love Light in Flight","Selections from the Origional Motion Picture Soundtrack ""The Woman in Red""","1984"
"329","Stevie Wonder","It's More Than You","Selections from the Origional Motion Picture Soundtrack ""The Woman in Red""","1984"
"330","Stevie Wonder","Don't Drive Drunk","Selections from the Origional Motion Picture Soundtrack ""The Woman in Red""","1984"
"331","Stevie Wonder","Part-Time Lover","In Square Circle","1985"
"332","Stevie Wonder","Go Home","In Square Circle","1985"
"333","Stevie Wonder","Overjoyed","In Square Circle","1986"
"334","Stevie Wonder","Land of La La","In Square Circle","1986"
"335","Stevie Wonder","Stranger on the Shore of Love","In Square Circle","1986"
"336","Stevie Wonder","Skeletons","Characters","1987"
"337","Stevie Wonder","You Will Know","Characters","1987"
"338","Stevie Wonder","Get It","Characters","1987"
"339","Stevie Wonder","My Eyes Don't Cry","Characters","1988"
"340","Stevie Wonder","With Each Beat of My Heart","Characters","1989"
"341","Stevie Wonder","Free","Characters","1989"
"342","Stevie Wonder","Keep Our Love Alive","Non-album single","1990"
"343","Stevie Wonder","Instrumental version of A-side","Non-album single","1990"
"344","Stevie Wonder","Gotta Have You","Jungle Fever: Music from the Movie","1991"
"345","Stevie Wonder","Feeding Off the Love of the Land","Jungle Fever: Music from the Movie","1991"
